FundingModel,AdmissionRate,ACTMedian,SATAverage,AverageCost,MedianEarnings
Private,0.876,28,1214,38845,32800
Private,0.7157,24,1095,40679,39200
Private,0.7969,26,1158,43185,42400
Private,0.6955,23,1050,39011,36100
Private,0.658,24,1089,43491,39200
Private,0.7752,23,1048,38062,35800
Private,0.6171,26,1166,45387,40300
Private,0.6411,26,1182,46135,35100
Private,0.7542,25,1119,37080,35600
Private,0.6595,28,1240,42477,48000
Private,0.7742,20,926,34206,32900
Private,0.6693,22,1028,24930,29200
Private,0.5018,21,969,34494,33200
Private,0.9542,21,979,31761,38900
Private,0.3506,30,1357,53318,37600
Public,0.8252,25,1145,18820,43500
Private,0.6012,22,1005,36102,30800
Public,0.8023,27,1208,21832,44000
Private,0.6903,24,1088,37622,38200
Private,0.7212,26,1175,46548,39900
Private,0.5337,23,1050,36280,36600
Private,0.6845,22,1010,37183,40900
Public,0.8331,22,1030,19233,38700
Private,0.7609,24,1095,37884,32600
Private,0.9617,23,1050,38189,40500
Private,0.8802,24,1105,40186,40400
Private,0.5818,22,1010,35190,39000
Private For-Profit,0.5067,21,980,30300,32000
Private,0.7765,24,1077,43312,39700
Private,0.5766,20,926,33081,36900
Private,0.869,24,1086,37485,45500
Private,0.6057,25,1145,36805,35000
Private,0.5882,21,956,34042,33500
Private,0.644,23,1028,33781,35400
Private,0.5045,21,970,28170,28200
Public,0.6069,22,1030,15612,33200
Public,0.8917,21,990,15395,34800
Private,0.5285,20,954,24990,26400
Private,0.5862,21,977,33388,38300
Public,0.9228,25,1145,21971,41600
Private,0.4472,24,1079,33524,39500
Private,0.537,22,1014,34402,35600
Private,0.5988,22,1020,25439,29000
Private,0.866,22,1014,34534,37000
Private,0.7223,20,950,32388,39200
Private,0.9888,22,1020,35017,37700
Public,0.7898,22,1010,15211,35300
Private,0.4707,22,988,31515,32600
Private,0.8968,23,1036,36472,42500
Private,0.4405,22,1015,30722,29300
Private,0.735,23,1017,35960,35300
Public,0.9576,24,1089,14764,36400
Private,0.4502,21,990,19450,27700
Private,0.6573,24,1110,33966,30200
Private,0.9478,25,1116,47609,42700
Private,0.3401,24,1113,30396,29700
Private,0.45,22,1010,27219,35000
Private,0.6844,21,985,31545,29800
Private,0.6857,29,1268,46400,35800
Private,0.7127,22,1019,30993,30100
Public,0.6002,22,1009,17801,31900
Private,0.8219,24,1085,42036,35100
Public,0.3774,18,860,18387,26100
Private,0.671,22,1019,29725,29100
Public,0.6861,25,1140,22420,39300
Private,0.5136,21,976,29246,26500
Public,0.7112,25,1142,21922,35800
Private,0.5381,22,1032,33132,33700
